supermonke;47544;48;00:42;24.02.2021 12:54
supermonke;19890;41;01:48;24.02.2021 00:22
john doe;12000;42;12:34;01.01.2001 16:20
supermonke;11059;30;00:42;24.02.2021 11:03
error;4443;21;06:51;24.02.2021 14:47
Anon;2041;20;00:04;20.02.2021 00:09
wow;1970;4;02:17;26.02.2021 13:00
Bernd;1927;14;01:06;22.02.2021 15:46
